epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.543,2.61655,2.17543,1.97225,0.6947,0.17094,0.19227,0.08845,2.11259,1.77504,1.58096,0.0700097,0.00333226,0.00333226
2,524.116,1.84567,1.3304,1.38754,0.54035,0.20871,0.23348,0.1269,1.79865,1.45452,1.39585,0.0399833,0.00663919,0.00663919
3,775.947,1.66845,1.07278,1.27194,0.34744,0.24321,0.24944,0.13407,1.79461,1.38206,1.37728,0.00993049,0.00991973,0.00991973
4,1026.19,1.513,0.90673,1.19019,0.38808,0.28051,0.27035,0.14714,1.7349,1.30933,1.35121,0.0098812,0.0098812,0.0098812
5,1274.96,1.38037,0.79444,1.12737,0.34151,0.27777,0.27333,0.15225,1.72643,1.36343,1.35547,0.0098416,0.0098416,0.0098416
6,1523.53,1.31406,0.73365,1.09398,0.33295,0.28161,0.27162,0.15381,1.69903,1.37907,1.33141,0.009802,0.009802,0.009802
7,1771.86,1.27077,0.69221,1.07285,0.31912,0.31555,0.28141,0.16318,1.66302,1.34968,1.31656,0.0097624,0.0097624,0.0097624
8,13260.5,1.23395,0.65959,1.05607,0.3061,0.31736,0.29035,0.17031,1.66463,1.32179,1.31843,0.0097228,0.0097228,0.0097228
9,13507.8,1.20782,0.63511,1.04206,0.35766,0.32151,0.29539,0.16694,1.73562,1.36181,1.34912,0.0096832,0.0096832,0.0096832
10,13755.8,1.19006,0.61724,1.03129,0.35848,0.33889,0.30024,0.17769,1.63089,1.33331,1.28516,0.0096436,0.0096436,0.0096436
11,14004.1,1.16971,0.60009,1.02171,0.34488,0.34202,0.30287,0.17256,1.65598,1.3405,1.29673,0.009604,0.009604,0.009604
12,14252.5,1.15483,0.58738,1.01244,0.34989,0.33893,0.29155,0.17169,1.65062,1.37806,1.29966,0.0095644,0.0095644,0.0095644
13,14500.4,1.14281,0.57775,1.0076,0.38556,0.34328,0.31375,0.18126,1.63946,1.3834,1.28132,0.0095248,0.0095248,0.0095248
14,14748.5,1.13429,0.57533,1.00169,0.37047,0.33285,0.3071,0.18257,1.62517,1.34976,1.27061,0.0094852,0.0094852,0.0094852
15,14996.8,1.12825,0.57141,0.99649,0.38444,0.32567,0.31059,0.18409,1.63761,1.34641,1.27365,0.0094456,0.0094456,0.0094456
16,15244.8,1.12047,0.5642,0.99126,0.38949,0.32502,0.314,0.18512,1.64296,1.36723,1.27634,0.009406,0.009406,0.009406
17,15493.5,1.10849,0.5575,0.9849,0.40213,0.32693,0.31568,0.18613,1.625,1.37198,1.26008,0.0093664,0.0093664,0.0093664
18,15742.2,1.10354,0.55336,0.98129,0.35454,0.33379,0.31028,0.18295,1.65885,1.40139,1.28411,0.0093268,0.0093268,0.0093268
19,15990.9,1.09033,0.54424,0.97671,0.3725,0.33823,0.31257,0.18559,1.63698,1.40086,1.26548,0.0092872,0.0092872,0.0092872
20,16239.3,1.08814,0.54164,0.9757,0.36594,0.32951,0.31371,0.18645,1.64857,1.40272,1.27042,0.0092476,0.0092476,0.0092476
21,16504.6,1.0784,0.5352,0.97029,0.37836,0.31956,0.31159,0.18295,1.67667,1.42586,1.28488,0.009208,0.009208,0.009208
22,16863.5,1.07347,0.53137,0.96875,0.38634,0.32098,0.31369,0.18412,1.67531,1.45542,1.28403,0.0091684,0.0091684,0.0091684
23,17222.1,1.06659,0.52771,0.96592,0.37152,0.32357,0.31143,0.1849,1.6691,1.44821,1.28111,0.0091288,0.0091288,0.0091288
24,17580.8,1.06306,0.52417,0.96349,0.39845,0.32205,0.31405,0.18813,1.64817,1.42828,1.26699,0.0090892,0.0090892,0.0090892
25,17939.2,1.05907,0.52165,0.96175,0.3749,0.30863,0.30675,0.18526,1.63174,1.42604,1.25881,0.0090496,0.0090496,0.0090496
26,18269.8,1.0519,0.51706,0.95912,0.35981,0.30953,0.30596,0.1837,1.6378,1.42879,1.26139,0.00901,0.00901,0.00901
27,18517.9,1.04598,0.5149,0.95675,0.35697,0.31958,0.30556,0.18332,1.63956,1.44891,1.26082,0.0089704,0.0089704,0.0089704
28,18767.1,1.0456,0.51285,0.95528,0.3643,0.3211,0.30603,0.1825,1.64345,1.45039,1.26087,0.0089308,0.0089308,0.0089308
29,19015,1.039,0.50923,0.95365,0.36927,0.3187,0.30943,0.18433,1.64749,1.44011,1.26535,0.0088912,0.0088912,0.0088912
30,19262.9,1.03218,0.50494,0.95139,0.36478,0.31554,0.30772,0.18262,1.65786,1.44664,1.27104,0.0088516,0.0088516,0.0088516
31,19510.6,1.02941,0.50319,0.94974,0.36959,0.31824,0.31005,0.18471,1.65532,1.44416,1.26831,0.008812,0.008812,0.008812
32,19758.6,1.02645,0.50152,0.94803,0.37348,0.32074,0.31148,0.18718,1.64346,1.44266,1.26163,0.0087724,0.0087724,0.0087724
33,20006.8,1.02453,0.5001,0.94651,0.37774,0.32261,0.31274,0.18806,1.64349,1.4351,1.26214,0.0087328,0.0087328,0.0087328
34,20255.1,1.01992,0.49702,0.94503,0.38326,0.32233,0.31334,0.18771,1.65025,1.44058,1.26471,0.0086932,0.0086932,0.0086932
35,20503.4,1.01644,0.49512,0.94528,0.38236,0.3229,0.31321,0.18766,1.65034,1.44297,1.26557,0.0086536,0.0086536,0.0086536
36,20751.1,1.01501,0.49379,0.9448,0.38277,0.32276,0.31374,0.18781,1.65327,1.43635,1.26682,0.008614,0.008614,0.008614
37,20998.5,1.01096,0.49243,0.94247,0.38374,0.32116,0.31406,0.18763,1.65658,1.43606,1.2683,0.0085744,0.0085744,0.0085744
38,21246.4,1.00899,0.48971,0.94098,0.38159,0.32236,0.31312,0.18705,1.65545,1.44101,1.26756,0.0085348,0.0085348,0.0085348
39,21493.9,1.00524,0.48845,0.94036,0.38352,0.32261,0.31385,0.18749,1.65811,1.44341,1.26859,0.0084952,0.0084952,0.0084952
40,21741.9,1.00249,0.48619,0.93891,0.38084,0.32417,0.31387,0.18721,1.66065,1.44628,1.26948,0.0084556,0.0084556,0.0084556
41,21989,1.00062,0.48563,0.93878,0.37787,0.32643,0.31418,0.18731,1.66104,1.44795,1.26915,0.008416,0.008416,0.008416
42,22236.7,0.9993,0.48529,0.93747,0.37596,0.32853,0.31523,0.18797,1.6619,1.44743,1.26934,0.0083764,0.0083764,0.0083764
43,22484.3,0.99502,0.48302,0.93615,0.37879,0.32826,0.31634,0.18871,1.66286,1.44936,1.26949,0.0083368,0.0083368,0.0083368
44,22731.5,0.993,0.48021,0.9356,0.37881,0.32943,0.31689,0.18908,1.66327,1.44919,1.26923,0.0082972,0.0082972,0.0082972
45,22979,0.98776,0.47821,0.93424,0.3811,0.32921,0.31779,0.18966,1.6633,1.44964,1.26903,0.0082576,0.0082576,0.0082576
46,23226.6,0.9856,0.4768,0.93371,0.38114,0.32804,0.31751,0.18963,1.66209,1.45074,1.26828,0.008218,0.008218,0.008218
47,23474.2,0.98337,0.47596,0.93111,0.3817,0.32723,0.31738,0.18965,1.66219,1.45157,1.26804,0.0081784,0.0081784,0.0081784
48,23721.6,0.98236,0.4743,0.93221,0.38516,0.32377,0.31734,0.18973,1.66145,1.45384,1.26767,0.0081388,0.0081388,0.0081388
49,23969.3,0.97711,0.47141,0.92974,0.3841,0.32376,0.3175,0.18989,1.66112,1.45509,1.26757,0.0080992,0.0080992,0.0080992
50,24217,0.97566,0.47124,0.92978,0.38386,0.32503,0.31799,0.19037,1.65937,1.45777,1.26656,0.0080596,0.0080596,0.0080596
51,24465,0.97476,0.47035,0.92937,0.38248,0.32527,0.31803,0.19057,1.65788,1.46062,1.2657,0.00802,0.00802,0.00802
52,24712.8,0.97437,0.47047,0.92883,0.38206,0.32533,0.31826,0.19074,1.65761,1.46141,1.26539,0.0079804,0.0079804,0.0079804
53,24961,0.97128,0.46858,0.92794,0.38322,0.32463,0.31859,0.19107,1.65736,1.4623,1.26509,0.0079408,0.0079408,0.0079408
54,25209,0.96959,0.46732,0.92825,0.38541,0.3211,0.31812,0.1909,1.65719,1.46445,1.26481,0.0079012,0.0079012,0.0079012
55,25457.2,0.96727,0.46687,0.9271,0.3862,0.32022,0.31808,0.19089,1.65862,1.46739,1.26531,0.0078616,0.0078616,0.0078616
56,25705.4,0.96401,0.46448,0.9262,0.38723,0.31915,0.31842,0.19099,1.66016,1.46887,1.26593,0.007822,0.007822,0.007822
57,25954.1,0.96165,0.46335,0.92469,0.38365,0.32095,0.31861,0.19118,1.66103,1.47178,1.26605,0.0077824,0.0077824,0.0077824
58,26202.5,0.96258,0.46372,0.92457,0.38072,0.32229,0.31873,0.19129,1.66163,1.47337,1.26635,0.0077428,0.0077428,0.0077428
59,26450.8,0.96177,0.46282,0.92403,0.38023,0.32331,0.31899,0.19142,1.66183,1.47636,1.26607,0.0077032,0.0077032,0.0077032
60,26698.1,0.95695,0.46094,0.92277,0.38031,0.3234,0.31923,0.19157,1.66266,1.47837,1.26628,0.0076636,0.0076636,0.0076636
61,26944.9,0.95541,0.46025,0.92385,0.3804,0.32302,0.3193,0.19165,1.66347,1.48239,1.26641,0.007624,0.007624,0.007624
62,27192.1,0.95173,0.45839,0.92135,0.38081,0.32201,0.31879,0.19123,1.66414,1.48621,1.2664,0.0075844,0.0075844,0.0075844
63,27439.5,0.95117,0.4575,0.9209,0.37958,0.32223,0.31839,0.19103,1.66439,1.48877,1.26631,0.0075448,0.0075448,0.0075448
64,27687.1,0.95073,0.45662,0.92108,0.38006,0.32198,0.31819,0.19078,1.66481,1.49075,1.26633,0.0075052,0.0075052,0.0075052
65,27934.7,0.95042,0.45654,0.92075,0.38025,0.32089,0.31793,0.19066,1.66576,1.49408,1.26649,0.0074656,0.0074656,0.0074656
66,28182.1,0.94965,0.45611,0.92031,0.38075,0.32111,0.31805,0.19078,1.66673,1.498,1.26672,0.007426,0.007426,0.007426
67,28429.6,0.94587,0.45389,0.91903,0.38062,0.32039,0.31789,0.19054,1.66874,1.50095,1.26751,0.0073864,0.0073864,0.0073864
68,28677.1,0.94406,0.45356,0.91883,0.38206,0.31945,0.31813,0.1906,1.66978,1.50473,1.26778,0.0073468,0.0073468,0.0073468
69,28925,0.94363,0.45306,0.91846,0.38277,0.31933,0.31827,0.19074,1.67001,1.50871,1.26759,0.0073072,0.0073072,0.0073072
70,29172.7,0.94402,0.45344,0.91948,0.38333,0.31818,0.31845,0.19083,1.67063,1.51064,1.26782,0.0072676,0.0072676,0.0072676
71,29419.1,0.94012,0.45139,0.91803,0.38337,0.31795,0.31819,0.19074,1.67172,1.51374,1.26808,0.007228,0.007228,0.007228
