epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.3445,3.58967,3.66137,2.73494,0.05157,0.09402,0.04877,0.01824,2.74461,2.74045,1.97984,0.0700371,0.00332921,0.00332921
2,193.296,2.56163,2.67578,1.8279,0.09225,0.13095,0.07629,0.03308,2.29067,2.29448,1.64894,0.0400107,0.00663616,0.00663616
3,290.843,2.30426,2.3927,1.62727,0.11625,0.16588,0.10172,0.04977,2.08344,2.08036,1.50397,0.00995792,0.00991671,0.00991671
4,388.213,2.10848,2.15239,1.49104,0.29043,0.1546,0.13144,0.06826,1.93477,1.84515,1.40897,0.0098812,0.0098812,0.0098812
5,485.477,1.9709,1.96817,1.40922,0.19478,0.1938,0.14706,0.07718,1.88369,1.72633,1.35914,0.0098416,0.0098416,0.0098416
6,582.441,1.89823,1.84631,1.35965,0.2447,0.21403,0.17,0.09103,1.80046,1.65485,1.31492,0.009802,0.009802,0.009802
7,679.569,1.82731,1.74012,1.32345,0.25651,0.23195,0.19134,0.10604,1.68735,1.55125,1.26147,0.0097624,0.0097624,0.0097624
8,775.857,1.77993,1.66882,1.3003,0.29067,0.23534,0.21715,0.11829,1.67441,1.48177,1.25663,0.0097228,0.0097228,0.0097228
9,872.995,1.75197,1.62423,1.27385,0.29864,0.26288,0.22578,0.12661,1.63352,1.4369,1.22584,0.0096832,0.0096832,0.0096832
10,971.651,1.72751,1.57728,1.26302,0.31901,0.26797,0.24201,0.13464,1.60142,1.41995,1.21381,0.0096436,0.0096436,0.0096436
11,1068.49,1.70466,1.53869,1.25143,0.33698,0.2729,0.24996,0.14072,1.57703,1.3834,1.20098,0.009604,0.009604,0.009604
12,1164.77,1.67061,1.49948,1.23607,0.34218,0.28377,0.25992,0.1466,1.57357,1.35652,1.20167,0.0095644,0.0095644,0.0095644
13,1260.63,1.65145,1.46918,1.22697,0.35038,0.29986,0.27276,0.15433,1.5525,1.33754,1.1816,0.0095248,0.0095248,0.0095248
14,1356.73,1.64224,1.44037,1.21378,0.38882,0.29919,0.28618,0.16318,1.53683,1.30931,1.1741,0.0094852,0.0094852,0.0094852
